,2 yr Undergrad,4 yr Undergrad,5 yr Undergrad,Grad,STAP,Unknown
intercept,6.069427183959168,6.274007576020033,0.3263641661444532,-2.908548780160381,-2.3459960191838882,-7.415254126779933
Academic Year,-0.27375486727877746,0.15807966562058687,0.18928537822815467,-1.3846101265690762,-0.8575576487845772,2.1685575987836825
TAP College Code,-0.6337077543432966,-0.6285743037132017,-0.9273167514979685,2.421160149247613,-0.980312529379337,0.7487511896862042
Federal School Code,0.6304131943417839,0.3791009857819975,0.03862862761070579,-0.008634841776235793,-0.3446650597114806,-0.6948429062467794
TAP College Name,-0.15705544496661297,-0.04772825950263333,-0.01067821380225805,0.4338775982060404,-0.20973514991774167,-0.00868053001678239
Sector Type,0.92611253665451,0.40780652544323426,1.1330724530809795,-2.632633739331169,0.17739179123853582,-0.011749567086131755
TAP Sector Group,1.0706068038157492,0.6238832310240587,0.43718283420645515,-4.197175924451263,0.2159160766503516,1.849586978754686
TAP Recipient Headcount,7.242629848976679,-3.425423517295636,-3.778596541033999,0.7207104940435083,-0.5982159178274282,-0.16110436686314938
TAP Recipient FTEs,-3.5663361968935883,7.038643168412262,-4.506864299127486,1.8969752185584847,-0.6753248558794022,-0.18709303507024255
TAP Recipient Dollars,3.330421453052396,3.8485598519566193,2.3903123536369733,-8.646383382840048,-0.623034487488352,-0.2998757883177427
